Frame,Rotation
1,-19.4747
2,-19.361
3,-19.2419
4,-19.1181
5,-18.9905
6,-18.8599
7,-18.7272
8,-18.5931
9,-18.4585
10,-18.3242
11,-18.1911
12,-18.0599
13,-17.9315
14,-17.8068
15,-17.6864
16,-17.5714
17,-17.4624
18,-17.3604
19,-17.2661
20,-17.1804
21,-17.1041
22,-17.038
23,-16.9818
24,-16.9341
25,-16.8945
26,-16.8624
27,-16.8372
28,-16.8184
29,-16.8054
30,-16.7976
31,-16.7946
32,-16.7957
33,-16.8005
34,-16.8083
35,-16.8186
36,-16.8309
37,-16.8446
38,-16.8592
39,-16.874
40,-16.8886
41,-16.9024
42,-16.9148
43,-16.9253
44,-16.9425
45,-16.9739
46,-17.0174
47,-17.0709
48,-17.1322
49,-17.1991
50,-17.2696
51,-17.3415
52,-17.4127
53,-17.481
54,-17.5442
55,-17.6004
56,-17.6473
57,-17.6827
58,-17.7046
59,-17.7108
60,-17.6992
61,-17.6676
62,-17.614
63,-17.5361
64,-17.4318
65,-17.2629
66,-17.0014
67,-16.6603
68,-16.253
69,-15.7926
70,-15.2923
71,-14.7652
72,-14.2246
73,-13.6836
74,-13.1555
75,-12.6533
76,-12.1903
77,-11.7797
78,-11.4347
79,-11.1683
80,-10.9939
81,-10.9246
82,-10.9736
83,-11.1541
84,-11.4792
85,-11.9622
86,-12.5977
87,-13.3657
88,-14.2573
89,-15.2635
90,-16.3752
91,-17.5837
92,-18.8798
93,-20.2547
94,-21.6993
95,-23.2048
96,-24.7621
97,-26.3623
98,-27.9964
99,-29.6555
100,-31.3306
101,-33.0128
102,-34.693
103,-36.3624
104,-38.0119
105,-39.6326
106,-41.2156
107,-42.8215
108,-44.5096
109,-46.269
110,-48.0885
111,-49.9572
112,-51.8639
113,-53.7977
114,-55.7475
115,-57.7022
116,-59.6509
117,-61.5825
118,-63.4859
119,-65.3501
120,-67.1641
121,-68.9168
122,-70.5972
123,-72.1942
124,-73.6969
125,-75.0941
126,-76.3749
127,-77.5281
128,-78.6351
129,-79.7742
130,-80.9298
131,-82.0864
132,-83.2284
133,-84.3402
134,-85.4063
135,-86.4111
136,-87.3391
137,-88.1747
138,-88.9024
139,-89.5065
