Frame,Rotation
1,-3.05774
2,-3.06034
3,-3.05813
4,-3.05148
5,-3.04073
6,-3.02622
7,-3.00832
8,-2.98737
9,-2.96373
10,-2.93773
11,-2.90974
12,-2.88011
13,-2.84917
14,-2.8173
15,-2.78483
16,-2.75212
17,-2.71951
18,-2.68736
19,-2.65602
20,-2.62584
21,-2.59716
22,-2.57035
23,-2.54217
24,-2.50961
25,-2.47337
26,-2.43413
27,-2.39259
28,-2.34942
29,-2.30532
30,-2.26098
31,-2.21709
32,-2.17432
33,-2.13338
34,-2.09495
35,-2.05971
36,-2.02837
37,-2.00159
38,-1.98008
39,-1.96452
40,-1.9556
41,-1.954
42,-1.96042
43,-1.97555
44,-1.99813
45,-2.02635
46,-2.06003
47,-2.09899
48,-2.14305
49,-2.19205
50,-2.24579
51,-2.30411
52,-2.36682
53,-2.43376
54,-2.50474
55,-2.57959
56,-2.65812
57,-2.74017
58,-2.82556
59,-2.91411
60,-3.00564
61,-3.09997
62,-3.19694
63,-3.29636
64,-3.39805
65,-3.51072
66,-3.64155
67,-3.78806
68,-3.94778
69,-4.11825
70,-4.297
71,-4.48155
72,-4.66944
73,-4.85819
74,-5.04534
75,-5.22842
76,-5.40496
77,-5.57249
78,-5.72854
79,-5.87064
80,-5.99631
81,-6.1031
82,-6.18853
83,-6.25014
84,-6.28544
85,-6.29198
86,-6.27154
87,-6.22853
88,-6.16437
89,-6.08051
90,-5.97838
91,-5.85943
92,-5.72509
93,-5.5768
94,-5.416
95,-5.24412
96,-5.06261
97,-4.8729
98,-4.67644
99,-4.47465
100,-4.26898
101,-4.06086
102,-3.85174
103,-3.64306
104,-3.43624
105,-3.23273
106,-3.03397
107,-2.82936
108,-2.60868
109,-2.37398
110,-2.12728
111,-1.87061
112,-1.606
113,-1.33548
114,-1.06107
115,-0.78481
116,-0.508727
117,-0.234849
118,0.0347934
119,0.298172
120,0.553257
121,0.79802
122,1.03043
123,1.24846
124,1.45008
125,1.63326
126,1.79597
127,1.93618
128,2.05585
129,2.15899
130,2.24663
131,2.3198
132,2.37954
133,2.42689
134,2.46288
135,2.48854
136,2.50492
137,2.51305
138,2.51397
139,2.5087
140,2.49829
141,2.48376
142,2.46617
143,2.44653
144,2.4259
145,2.4053
146,2.38576
147,2.36833
148,2.35404
149,2.33431
150,2.30105
151,2.25598
152,2.20087
153,2.13745
154,2.06747
155,1.99267
156,1.91479
157,1.83559
158,1.7568
159,1.68017
160,1.60745
161,1.54037
162,1.48068
163,1.43014
164,1.39047
165,1.36343
166,1.35076
167,1.3542
168,1.3755
169,1.41641
170,1.47966
171,1.56536
172,1.67129
173,1.79523
174,1.93496
175,2.08826
176,2.25292
177,2.42672
178,2.60743
179,2.79285
180,2.98074
181,3.1689
182,3.35511
183,3.53714
184,3.71278
185,3.87981
186,4.03601
187,4.17916
188,4.30705
189,4.41745
190,4.50815
191,4.59427
192,4.69056
193,4.79427
194,4.90263
195,5.01289
196,5.12228
197,5.22803
198,5.3274
199,5.41761
200,5.4959
