Frame,Rotation
1,-19.4747
2,-19.3615
3,-19.2429
4,-19.1195
5,-18.9923
6,-18.862
7,-18.7295
8,-18.5957
9,-18.4612
10,-18.3271
11,-18.194
12,-18.0628
13,-17.9343
14,-17.8094
15,-17.6888
16,-17.5735
17,-17.4642
18,-17.3619
19,-17.2672
20,-17.1811
21,-17.1044
22,-17.038
23,-16.9816
24,-16.934
25,-16.8948
26,-16.8632
27,-16.8387
28,-16.8208
29,-16.8088
30,-16.8021
31,-16.8001
32,-16.8023
33,-16.8079
34,-16.8165
35,-16.8273
36,-16.8399
37,-16.8535
38,-16.8676
39,-16.8817
40,-16.895
41,-16.9071
42,-16.9174
43,-16.9253
44,-16.9396
45,-16.9682
46,-17.0088
47,-17.0595
48,-17.1183
49,-17.1831
50,-17.2517
51,-17.3222
52,-17.3924
53,-17.4603
54,-17.5238
55,-17.5806
56,-17.6287
57,-17.6659
58,-17.6899
59,-17.6985
60,-17.6896
61,-17.6607
62,-17.6097
63,-17.5342
64,-17.4318
65,-17.2638
66,-17.0022
67,-16.6605
68,-16.2525
69,-15.7916
70,-15.2912
71,-14.7648
72,-14.2254
73,-13.6864
74,-13.1607
75,-12.6615
76,-12.2015
77,-11.7938
78,-11.4512
79,-11.1866
80,-11.0128
81,-10.9428
82,-10.9896
83,-11.1662
84,-11.486
85,-11.9622
86,-12.5908
87,-13.3539
88,-14.2445
89,-15.2559
90,-16.3808
91,-17.6116
92,-18.9397
93,-20.3558
94,-21.8496
95,-23.4098
96,-25.024
97,-26.6794
98,-28.3622
99,-30.0586
100,-31.7546
101,-33.4365
102,-35.0914
103,-36.7069
104,-38.2722
105,-39.7777
106,-41.2156
107,-42.6438
108,-44.1249
109,-45.66
110,-47.2506
111,-48.898
112,-50.6027
113,-52.3638
114,-54.1788
115,-56.043
116,-57.9494
117,-59.8887
118,-61.8489
119,-63.8157
120,-65.7726
121,-67.7013
122,-69.582
123,-71.3939
124,-73.1158
125,-74.7263
126,-76.204
127,-77.5281
128,-78.7861
129,-80.0688
130,-81.3605
131,-82.6452
132,-83.9065
133,-85.1281
134,-86.293
135,-87.3845
136,-88.3853
137,-89.2782
138,-90.0455
139,-90.6696
140,-91.1323
141,-91.4157
142,-91.5011
143,-91.3701
144,-91.0039
145,-90.3838
146,-89.4914
147,-88.3088
148,-86.8191
149,-84.8805
150,-82.4033
151,-79.4545
152,-76.1076
153,-72.4414
154,-68.5382
155,-64.4808
156,-60.3484
157,-56.2134
158,-52.1393
159,-48.1789
160,-44.3745
161,-40.7592
162,-37.3585
163,-34.1927
164,-31.2787
165,-28.6321
166,-26.2688
167,-24.206
168,-22.4628
169,-21.061
170,-19.9416
171,-19.0184
172,-18.2751
173,-17.6966
174,-17.2682
175,-16.9763
176,-16.8074
177,-16.7486
178,-16.7874
179,-16.9113
180,-17.1085
181,-17.3671
182,-17.6753
183,-18.0216
184,-18.3943
185,-18.7817
186,-19.1719
187,-19.5529
188,-19.9125
189,-20.2383
190,-20.5176
191,-20.818
192,-21.2089
193,-21.6801
194,-22.2219
195,-22.8242
196,-23.4772
197,-24.1708
198,-24.8952
199,-25.6403
200,-26.3961
201,-27.1524
202,-27.899
203,-28.6255
204,-29.3215
205,-29.9764
206,-30.5795
207,-31.12
208,-31.5869
209,-31.9692
210,-32.2558
211,-32.4355
212,-32.5147
213,-32.5118
214,-32.4335
215,-32.2865
216,-32.0771
217,-31.8117
218,-31.4965
219,-31.1374
220,-30.7404
221,-30.3111
222,-29.8553
223,-29.3784
224,-28.8859
225,-28.3832
226,-27.8758
227,-27.3691
228,-26.8686
229,-26.3802
230,-25.9098
231,-25.4637
232,-25.0485
233,-24.5926
234,-24.0334
235,-23.3921
236,-22.6895
237,-21.9462
238,-21.1816
239,-20.4141
240,-19.6608
241,-18.9377
242,-18.2595
243,-17.64
244,-17.0919
245,-16.6277
246,-16.2589
247,-15.997
248,-15.8533
249,-15.8389
250,-15.9652
251,-16.2434
252,-16.6855
253,-17.3034
254,-18.164
255,-19.3058
256,-20.6986
257,-22.3125
258,-24.118
259,-26.0855
260,-28.1858
261,-30.39
262,-32.6691
263,-34.9937
264,-37.3346
265,-39.6617
266,-41.9444
267,-44.1513
268,-46.2502
269,-48.2079
270,-49.9907
271,-51.564
272,-52.893
273,-53.9424
274,-54.677
275,-55.0882
276,-55.2089
277,-55.0663
278,-54.688
279,-54.1019
280,-53.3361
281,-52.4189
282,-51.3788
283,-50.2444
284,-49.0445
285,-47.808
286,-46.5639
287,-45.3412
288,-44.1691
289,-43.0768
290,-42.0937
291,-41.2489
292,-40.5719
293,-40.0918
294,-39.838
295,-39.8397
296,-40.0923
297,-40.558
298,-41.2164
299,-42.0473
300,-43.03
301,-44.1441
302,-45.3686
303,-46.6827
304,-48.0648
305,-49.4932
306,-50.9455
307,-52.3985
308,-53.8287
309,-55.2115
310,-56.5219
311,-57.734
312,-58.8216
313,-59.7581
314,-60.5167
315,-61.0708
316,-61.3946
317,-61.5091
318,-61.4609
319,-61.2636
320,-60.9325
321,-60.4832
322,-59.932
323,-59.2951
324,-58.5886
325,-57.8278
326,-57.0274
327,-56.2008
328,-55.3601
329,-54.5159
330,-53.6777
331,-52.8531
332,-52.0488
333,-51.2702
334,-50.522
335,-49.8085
336,-49.1337
337,-48.5022
338,-47.884
339,-47.2465
340,-46.5914
341,-45.9218
342,-45.241
343,-44.5526
344,-43.8606
345,-43.1683
346,-42.479
347,-41.7953
348,-41.1191
349,-40.4515
350,-39.7928
351,-39.1423
352,-38.4986
353,-37.8595
354,-37.222
355,-36.583
356,-35.9392
357,-35.2872
358,-34.6247
359,-33.9304
360,-33.1889
361,-32.4073
362,-31.5934
363,-30.7549
