Frame,Rotation
1,-3.05774
2,-3.06016
3,-3.05782
4,-3.05108
5,-3.04028
6,-3.02577
7,-3.00788
8,-2.98697
9,-2.96337
10,-2.93744
11,-2.90951
12,-2.87993
13,-2.84906
14,-2.81723
15,-2.78481
16,-2.75212
17,-2.71954
18,-2.6874
19,-2.65605
20,-2.62586
21,-2.59718
22,-2.57035
23,-2.54211
24,-2.50942
25,-2.47299
26,-2.43352
27,-2.39171
28,-2.34828
29,-2.30391
30,-2.25932
31,-2.21519
32,-2.17223
33,-2.13114
34,-2.09261
35,-2.05734
36,-2.02602
37,-1.99935
38,-1.97802
39,-1.96272
40,-1.95413
41,-1.95296
42,-1.95987
43,-1.97555
44,-1.99881
45,-2.02785
46,-2.06244
47,-2.10234
48,-2.14732
49,-2.19716
50,-2.25164
51,-2.31056
52,-2.37371
53,-2.4409
54,-2.51194
55,-2.58665
56,-2.66486
57,-2.74641
58,-2.83115
59,-2.91891
60,-3.00955
61,-3.10293
62,-3.1989
63,-3.29732
64,-3.39805
65,-3.5106
66,-3.64275
67,-3.79178
68,-3.95498
69,-4.12964
70,-4.31307
71,-4.50256
72,-4.69542
73,-4.88896
74,-5.08047
75,-5.26727
76,-5.44666
77,-5.61597
78,-5.77252
79,-5.91366
80,-6.03676
81,-6.13922
82,-6.21847
83,-6.27198
84,-6.29729
85,-6.29198
86,-6.25743
87,-6.19811
88,-6.11633
89,-6.01437
90,-5.89447
91,-5.7588
92,-5.60948
93,-5.44855
94,-5.27794
95,-5.09948
96,-4.91493
97,-4.7259
98,-4.53391
99,-4.34034
100,-4.14648
101,-3.95349
102,-3.76241
103,-3.57416
104,-3.38955
105,-3.20929
106,-3.03397
107,-2.85377
108,-2.65894
109,-2.45007
110,-2.22782
111,-1.99296
112,-1.74646
113,-1.48947
114,-1.22342
115,-0.950005
116,-0.671197
117,-0.389267
118,-0.106767
119,0.173484
120,0.448423
121,0.714777
122,0.969109
123,1.20787
124,1.42747
125,1.62432
126,1.79498
127,1.93618
128,2.05237
129,2.15073
130,2.23249
131,2.29898
132,2.35168
133,2.3921
134,2.42178
135,2.44222
136,2.45487
137,2.4611
138,2.46217
139,2.4592
140,2.45316
141,2.44487
142,2.43496
143,2.42388
144,2.4119
145,2.3991
146,2.3854
147,2.37051
148,2.35404
149,2.32478
150,2.27449
151,2.20696
152,2.12589
153,2.03483
154,1.93717
155,1.83613
156,1.73478
157,1.63596
158,1.54234
159,1.45638
160,1.38035
161,1.3163
162,1.26607
163,1.23129
164,1.21342
165,1.21369
166,1.23322
167,1.27295
168,1.33374
169,1.41641
170,1.5213
171,1.64563
172,1.78584
173,1.93869
174,2.10136
175,2.2713
176,2.44631
177,2.62442
178,2.80384
179,2.98298
180,3.16031
181,3.3344
182,3.50381
183,3.66712
184,3.82287
185,3.96951
186,4.10547
187,4.22907
188,4.33858
189,4.43222
190,4.50815
191,4.58218
192,4.66934
