Frame,Rotation
1,-19.4747
2,-19.3587
3,-19.2426
4,-19.1266
5,-19.0106
6,-18.8945
7,-18.7785
8,-18.6625
9,-18.5464
10,-18.4304
11,-18.3144
12,-18.1983
13,-18.0823
14,-17.9663
15,-17.8502
16,-17.7342
17,-17.6182
18,-17.5021
19,-17.3861
20,-17.2701
21,-17.154
22,-17.038
23,-17.0326
24,-17.0273
25,-17.0219
26,-17.0165
27,-17.0112
28,-17.0058
29,-17.0004
30,-16.9951
31,-16.9897
32,-16.9843
33,-16.979
34,-16.9736
35,-16.9682
36,-16.9629
37,-16.9575
38,-16.9521
39,-16.9468
40,-16.9414
41,-16.936
42,-16.9307
43,-16.9253
44,-16.9494
45,-16.9735
46,-16.9977
47,-17.0218
48,-17.0459
49,-17.07
50,-17.0941
51,-17.1183
52,-17.1424
53,-17.1665
54,-17.1906
55,-17.2147
56,-17.2388
57,-17.263
58,-17.2871
59,-17.3112
60,-17.3353
61,-17.3594
62,-17.3836
63,-17.4077
64,-17.4318
65,-17.1713
66,-16.9109
67,-16.6504
68,-16.39
69,-16.1295
70,-15.8691
71,-15.6086
72,-15.3481
73,-15.0877
74,-14.8272
75,-14.5668
76,-14.3063
77,-14.0459
78,-13.7854
79,-13.5249
80,-13.2645
81,-13.004
82,-12.7436
83,-12.4831
84,-12.2227
85,-11.9622
86,-13.3552
87,-14.7482
88,-16.1413
89,-17.5343
90,-18.9273
91,-20.3203
92,-21.7133
93,-23.1064
94,-24.4994
95,-25.8924
96,-27.2854
97,-28.6784
98,-30.0714
99,-31.4645
100,-32.8575
101,-34.2505
102,-35.6435
103,-37.0365
104,-38.4296
105,-39.8226
106,-41.2156
107,-42.9448
108,-44.6739
109,-46.4031
110,-48.1323
111,-49.8614
112,-51.5906
113,-53.3198
114,-55.0489
115,-56.7781
116,-58.5073
117,-60.2364
118,-61.9656
119,-63.6948
120,-65.4239
121,-67.1531
122,-68.8823
123,-70.6114
124,-72.3406
125,-74.0698
126,-75.7989
127,-77.5281
128,-77.9705
129,-78.413
130,-78.8554
131,-79.2978
132,-79.7402
133,-80.1827
134,-80.6251
135,-81.0675
136,-81.51
137,-81.9524
138,-82.3948
139,-82.8372
140,-83.2797
141,-83.7221
142,-84.1645
143,-84.607
144,-85.0494
145,-85.4918
146,-85.9342
147,-86.3767
148,-86.8191
149,-83.6878
150,-80.5564
151,-77.4251
152,-74.2937
153,-71.1624
154,-68.0311
155,-64.8997
156,-61.7684
157,-58.6371
158,-55.5057
159,-52.3744
160,-49.243
161,-46.1117
162,-42.9804
163,-39.849
164,-36.7177
165,-33.5864
166,-30.455
167,-27.3237
168,-24.1923
169,-21.061
170,-21.0351
171,-21.0092
172,-20.9834
173,-20.9575
174,-20.9316
175,-20.9057
176,-20.8799
177,-20.854
178,-20.8281
179,-20.8022
180,-20.7764
181,-20.7505
182,-20.7246
183,-20.6987
184,-20.6729
185,-20.647
186,-20.6211
187,-20.5952
188,-20.5694
189,-20.5435
190,-20.5176
191,-21.0851
192,-21.6526
193,-22.2202
194,-22.7877
195,-23.3552
196,-23.9227
197,-24.4902
198,-25.0578
199,-25.6253
200,-26.1928
201,-26.7603
202,-27.3278
203,-27.8953
204,-28.4629
205,-29.0304
206,-29.5979
207,-30.1654
208,-30.7329
209,-31.3005
210,-31.868
211,-32.4355
212,-32.0837
213,-31.732
214,-31.3802
215,-31.0285
216,-30.6767
217,-30.3249
218,-29.9732
219,-29.6214
220,-29.2696
221,-28.9179
222,-28.5661
223,-28.2144
224,-27.8626
225,-27.5108
226,-27.1591
227,-26.8073
228,-26.4555
229,-26.1038
230,-25.752
231,-25.4003
232,-25.0485
233,-24.6797
234,-24.3109
235,-23.9421
236,-23.5732
237,-23.2044
238,-22.8356
239,-22.4668
240,-22.098
241,-21.7292
242,-21.3604
243,-20.9915
244,-20.6227
245,-20.2539
246,-19.8851
247,-19.5163
248,-19.1475
249,-18.7787
250,-18.4098
251,-18.041
252,-17.6722
253,-17.3034
254,-19.0831
255,-20.8628
256,-22.6425
257,-24.4222
258,-26.2019
259,-27.9816
260,-29.7613
261,-31.541
262,-33.3207
263,-35.1004
264,-36.88
265,-38.6597
266,-40.4394
267,-42.2191
268,-43.9988
269,-45.7785
270,-47.5582
271,-49.3379
272,-51.1176
273,-52.8973
274,-54.677
275,-53.9705
276,-53.2639
277,-52.5574
278,-51.8508
279,-51.1443
280,-50.4378
281,-49.7312
282,-49.0247
283,-48.3182
284,-47.6116
285,-46.9051
286,-46.1985
287,-45.492
288,-44.7855
289,-44.0789
290,-43.3724
291,-42.6659
292,-41.9593
293,-41.2528
294,-40.5462
295,-39.8397
296,-40.8661
297,-41.8925
298,-42.919
299,-43.9454
300,-44.9718
301,-45.9982
302,-47.0247
303,-48.0511
304,-49.0775
305,-50.1039
306,-51.1304
307,-52.1568
308,-53.1832
309,-54.2096
310,-55.2361
311,-56.2625
312,-57.2889
313,-58.3153
314,-59.3418
315,-60.3682
316,-61.3946
317,-60.7807
318,-60.1668
319,-59.5528
320,-58.9389
321,-58.325
322,-57.7111
323,-57.0971
324,-56.4832
325,-55.8693
326,-55.2554
327,-54.6414
328,-54.0275
329,-53.4136
330,-52.7997
331,-52.1857
332,-51.5718
333,-50.9579
334,-50.344
335,-49.73
336,-49.1161
337,-48.5022
338,-47.8414
339,-47.1805
340,-46.5197
341,-45.8589
342,-45.198
343,-44.5372
344,-43.8764
345,-43.2155
346,-42.5547
347,-41.8939
348,-41.233
349,-40.5722
350,-39.9114
351,-39.2505
352,-38.5897
353,-37.9289
354,-37.268
355,-36.6072
356,-35.9464
357,-35.2855
358,-34.6247
359,-33.925
360,-33.2254
361,-32.5257
362,-31.826
363,-31.1264
364,-30.4267
365,-29.727
366,-29.0274
367,-28.3277
368,-27.628
369,-26.9284
370,-26.2287
371,-25.529
372,-24.8294
373,-24.1297
374,-23.43
375,-22.7304
376,-22.0307
377,-21.331
378,-20.6314
379,-19.9317
380,-20.1628
381,-20.3939
382,-20.625
383,-20.8561
384,-21.0872
385,-21.3184
386,-21.5495
387,-21.7806
388,-22.0117
389,-22.2428
390,-22.4739
391,-22.705
392,-22.9361
393,-23.1672
394,-23.3983
395,-23.6295
396,-23.8606
397,-24.0917
398,-24.3228
399,-24.5539
400,-24.785
401,-25.6384
402,-26.4917
403,-27.3451
404,-28.1985
405,-29.0518
406,-29.9052
407,-30.7586
408,-31.6119
409,-32.4653
410,-33.3187
411,-34.172
412,-35.0254
413,-35.8788
414,-36.7321
415,-37.5855
416,-38.4389
417,-39.2922
418,-40.1456
419,-40.999
420,-41.8523
421,-42.7057
422,-41.3836
423,-40.0615
424,-38.7393
425,-37.4172
426,-36.0951
427,-34.773
428,-33.4508
429,-32.1287
430,-30.8066
431,-29.4845
432,-28.1623
433,-26.8402
434,-25.5181
435,-24.196
436,-22.8738
437,-21.5517
438,-20.2296
439,-18.9075
440,-17.5853
441,-16.2632
442,-14.9411
443,-14.3214
444,-13.7017
445,-13.082
446,-12.4623
447,-11.8425
448,-11.2228
449,-10.6031
450,-9.98341
451,-9.3637
452,-8.74399
453,-8.12428
454,-7.50457
455,-6.88486
456,-6.26515
457,-5.64544
458,-5.02572
459,-4.40601
460,-3.7863
461,-3.16659
462,-2.54688
463,-1.92717
464,-3.70413
465,-5.48109
466,-7.25805
467,-9.035
468,-10.812
469,-12.5889
470,-14.3659
471,-16.1428
472,-17.9198
473,-19.6968
474,-21.4737
475,-23.2507
476,-25.0276
477,-26.8046
478,-28.5815
479,-30.3585
480,-32.1355
