Frame,Rotation
1,-19.4747
2,-19.3589
3,-19.2432
4,-19.1274
5,-19.0116
6,-18.8959
7,-18.7801
8,-18.6643
9,-18.5484
10,-18.4326
11,-18.3167
12,-18.2007
13,-18.0847
14,-17.9687
15,-17.8526
16,-17.7365
17,-17.6203
18,-17.504
19,-17.3876
20,-17.2712
21,-17.1546
22,-17.038
23,-17.0326
24,-17.0272
25,-17.0219
26,-17.0165
27,-17.0111
28,-17.0058
29,-17.0004
30,-16.995
31,-16.9896
32,-16.9843
33,-16.9789
34,-16.9735
35,-16.9682
36,-16.9628
37,-16.9575
38,-16.9521
39,-16.9467
40,-16.9414
41,-16.936
42,-16.9307
43,-16.9253
44,-16.944
45,-16.9633
46,-16.9831
47,-17.0034
48,-17.0243
49,-17.0457
50,-17.0677
51,-17.0901
52,-17.1132
53,-17.1367
54,-17.1608
55,-17.1855
56,-17.2106
57,-17.2364
58,-17.2626
59,-17.2895
60,-17.3168
61,-17.3447
62,-17.3732
63,-17.4022
64,-17.4318
65,-17.169
66,-16.9065
67,-16.6443
68,-16.3823
69,-16.1205
70,-15.859
71,-15.5978
72,-15.3368
73,-15.076
74,-14.8155
75,-14.5551
76,-14.295
77,-14.0351
78,-13.7753
79,-13.5158
80,-13.2564
81,-12.9973
82,-12.7383
83,-12.4794
84,-12.2207
85,-11.9622
86,-13.3413
87,-14.7243
88,-16.1109
89,-17.5007
90,-18.8933
91,-20.2884
92,-21.6855
93,-23.0841
94,-24.4839
95,-25.8845
96,-27.2853
97,-28.686
98,-30.0861
99,-31.4852
100,-32.8829
101,-34.2787
102,-35.6722
103,-37.063
104,-38.4508
105,-39.8351
106,-41.2156
107,-42.6103
108,-44.0355
109,-45.4924
110,-46.9817
111,-48.5044
112,-50.0611
113,-51.6525
114,-53.2791
115,-54.9413
116,-56.6393
117,-58.373
118,-60.1424
119,-61.947
120,-63.7864
121,-65.6595
122,-67.5654
123,-69.5026
124,-71.4696
125,-73.4643
126,-75.4846
127,-77.5281
128,-77.9518
129,-78.3771
130,-78.804
131,-79.2327
132,-79.6631
133,-80.0953
134,-80.5293
135,-80.9652
136,-81.403
137,-81.8427
138,-82.2844
139,-82.7281
140,-83.1739
141,-83.6217
142,-84.0718
143,-84.524
144,-84.9784
145,-85.435
146,-85.894
147,-86.3554
148,-86.8191
149,-83.0606
150,-79.3196
151,-75.6101
152,-71.9445
153,-68.3343
154,-64.789
155,-61.3168
156,-57.9235
157,-54.6134
158,-51.3891
159,-48.2514
160,-45.1999
161,-42.2328
162,-39.3473
163,-36.5398
164,-33.8061
165,-31.1413
166,-28.5401
167,-25.9969
168,-23.5059
169,-21.061
170,-21.0513
171,-21.04
172,-21.0271
173,-21.0126
174,-20.9966
175,-20.9789
176,-20.9596
177,-20.9388
178,-20.9163
179,-20.8922
180,-20.8664
181,-20.839
182,-20.81
183,-20.7794
184,-20.747
185,-20.713
