Frame,Rotation
1,-3.05774
2,-3.03466
3,-3.01157
4,-2.98846
5,-2.96534
6,-2.94221
7,-2.91906
8,-2.8959
9,-2.87273
10,-2.84955
11,-2.82635
12,-2.80315
13,-2.77992
14,-2.75669
15,-2.73344
16,-2.71018
17,-2.68691
18,-2.66362
19,-2.64032
20,-2.61701
21,-2.59369
22,-2.57035
23,-2.54213
24,-2.51389
25,-2.48565
26,-2.45739
27,-2.42913
28,-2.40086
29,-2.37257
30,-2.34428
31,-2.31597
32,-2.28766
33,-2.25934
34,-2.231
35,-2.20266
36,-2.17431
37,-2.14594
38,-2.11757
39,-2.08918
40,-2.06079
41,-2.03239
42,-2.00397
43,-1.97555
44,-2.04451
45,-2.11333
46,-2.18203
47,-2.2506
48,-2.31903
49,-2.38735
50,-2.45554
51,-2.5236
52,-2.59155
53,-2.65937
54,-2.72708
55,-2.79468
56,-2.86215
57,-2.92952
58,-2.99677
59,-3.06392
60,-3.13095
61,-3.19788
62,-3.26471
63,-3.33143
64,-3.39805
65,-3.53516
66,-3.67234
67,-3.80958
68,-3.94689
69,-4.08427
70,-4.22172
71,-4.35924
72,-4.49682
73,-4.63448
74,-4.7722
75,-4.91
76,-5.04786
77,-5.1858
78,-5.32382
79,-5.4619
80,-5.60006
81,-5.73829
82,-5.8766
83,-6.01499
84,-6.15344
85,-6.29198
86,-6.11162
87,-5.93379
88,-5.75847
89,-5.58567
90,-5.41539
91,-5.24763
92,-5.08239
93,-4.91967
94,-4.75946
95,-4.60177
96,-4.4466
97,-4.29396
98,-4.14383
99,-3.99623
100,-3.85116
101,-3.70862
102,-3.56861
103,-3.43113
104,-3.2962
105,-3.16381
106,-3.03397
107,-2.81653
108,-2.59706
109,-2.37558
110,-2.1521
111,-1.92664
112,-1.69921
113,-1.46983
114,-1.23853
115,-1.00531
116,-0.77019
117,-0.533194
118,-0.294336
119,-0.0536342
120,0.188894
121,0.43323
122,0.679355
123,0.927252
124,1.1769
125,1.42829
126,1.68139
127,1.93618
128,1.93174
129,1.92963
130,1.92986
131,1.93245
132,1.93741
133,1.94474
134,1.95447
135,1.96662
136,1.9812
137,1.99822
