Frame,Rotation
1,-19.4747
2,-19.0551
3,-19.0536
4,-19.0092
5,-18.8001
6,-18.6661
7,-18.541
8,-18.3983
9,-18.2503
10,-18.1061
11,-17.966
12,-17.8344
13,-17.7157
14,-17.612
15,-17.522
16,-17.4432
17,-17.3717
18,-17.3032
19,-17.2351
20,-17.1668
21,-17.1002
22,-17.038
23,-16.9833
24,-16.9377
25,-16.9013
26,-16.8733
27,-16.8521
28,-16.8361
29,-16.8241
30,-16.8154
31,-16.8096
32,-16.8064
33,-16.8052
34,-16.8052
35,-16.8054
36,-16.8063
37,-16.8087
38,-16.8142
39,-16.824
40,-16.8395
41,-16.8614
42,-16.8899
43,-16.9253
44,-16.9684
45,-17.0201
46,-17.0815
47,-17.1535
48,-17.2361
49,-17.3274
50,-17.424
51,-17.521
52,-17.6118
53,-17.6903
54,-17.7512
55,-17.7913
56,-17.8093
57,-17.8057
58,-17.7839
59,-17.7475
60,-17.7005
61,-17.6457
62,-17.5835
63,-17.5132
64,-17.4318
65,-17.336
66,-17.2242
67,-17.0955
68,-17.0212
69,-17.0218
70,-17.1372
71,-17.3841
72,-17.7389
73,-18.1329
74,-18.4645
75,-18.6256
76,-18.5381
77,-18.0929
78,-17.3881
79,-16.4939
80,-15.5154
81,-14.5596
82,-13.7055
83,-12.9914
84,-12.4175
85,-11.9622
86,-11.6265
87,-11.3636
88,-11.2055
89,-11.1898
90,-11.3575
91,-11.7469
92,-12.3875
93,-13.2993
94,-14.4893
95,-15.9525
96,-17.673
97,-19.6242
98,-21.7688
99,-24.0627
100,-26.4596
101,-28.9169
102,-31.3987
103,-33.8811
104,-36.3496
105,-38.7965
106,-41.2156
107,-43.5997
108,-45.9343
109,-48.195
110,-50.3497
111,-52.359
112,-54.1785
113,-55.7685
114,-57.0889
115,-57.971
116,-58.707
117,-59.1739
118,-59.4358
119,-59.5929
120,-59.7642
121,-60.2526
122,-60.943
123,-62.2337
124,-64.3895
125,-67.7099
126,-72.2311
127,-77.5281
128,-82.8493
129,-87.5395
130,-91.3298
131,-94.2598
132,-96.4981
133,-98.2261
134,-99.588
135,-100.681
136,-101.559
137,-102.228
138,-102.687
139,-102.903
140,-102.833
141,-102.423
142,-101.617
143,-100.36
144,-98.6095
145,-96.3483
146,-93.5941
147,-90.388
148,-86.8191
149,-82.9969
150,-79.0305
151,-75.0053
152,-70.9738
153,-66.9591
154,-62.9621
155,-58.9881
156,-55.0556
157,-51.1985
158,-47.4623
159,-43.8957
160,-40.5436
161,-37.4376
162,-34.5927
163,-32.0118
164,-29.6821
165,-27.5828
166,-25.6907
167,-23.984
168,-22.445
169,-21.061
170,-19.8257
171,-18.7395
172,-17.8043
173,-17.0255
174,-16.4077
175,-15.9531
176,-15.6585
177,-15.5118
178,-15.4942
179,-15.5818
180,-15.7483
181,-15.9714
182,-16.2372
183,-16.5425
184,-16.8943
185,-17.3051
186,-17.7891
187,-18.3551
188,-19.0037
189,-19.7289
190,-20.5176
191,-21.3519
192,-22.2139
193,-23.0874
194,-23.9619
195,-24.8302
196,-25.6878
197,-26.5302
198,-27.3501
199,-28.1379
200,-28.8817
201,-29.5675
202,-30.1825
203,-30.7158
204,-31.1628
205,-31.5244
206,-31.8077
207,-32.0244
208,-32.1858
209,-32.3034
210,-32.3856
211,-32.4355
212,-32.4535
213,-32.4361
214,-32.3801
215,-32.2833
216,-32.1466
217,-31.9738
218,-31.7711
219,-31.5451
220,-31.3029
221,-31.0484
222,-30.7823
223,-30.5004
224,-30.194
225,-29.8494
226,-29.4512
227,-28.9821
228,-28.4246
229,-27.7635
230,-26.9859
231,-26.0827
232,-25.0485
233,-23.8821
234,-22.5883
235,-21.1782
236,-19.671
237,-18.0953
238,-16.4889
239,-14.8992
240,-13.3826
241,-12.001
242,-10.8194
243,-9.8996
244,-9.2941
245,-9.03821
246,-9.14383
247,-9.60454
248,-10.3852
249,-11.4381
250,-12.7079
251,-14.1393
252,-15.6832
253,-17.3034
254,-18.9797
255,-20.708
256,-22.4901
257,-24.3498
258,-26.3019
259,-28.356
260,-30.5101
261,-32.7506
262,-35.0518
263,-37.3787
264,-39.6929
265,-41.958
266,-44.1329
267,-46.1857
268,-48.085
269,-49.8002
270,-51.3001
271,-52.5562
272,-53.5456
273,-54.2541
274,-54.677
275,-54.8209
276,-54.7022
277,-54.3415
278,-53.7626
279,-52.9889
280,-52.0431
281,-50.9481
282,-49.7305
283,-48.4236
284,-47.0685
285,-45.7131
286,-44.4084
287,-43.2029
288,-42.1367
289,-41.2379
290,-40.5225
291,-39.998
292,-39.6656
293,-39.5263
294,-39.5828
295,-39.8397
296,-40.2999
297,-40.9642
298,-41.8272
299,-42.877
300,-44.0931
301,-45.4528
302,-46.9287
303,-48.493
304,-50.1165
305,-51.7695
306,-53.4184
307,-55.0266
308,-56.5527
309,-57.9538
310,-59.1869
311,-60.2133
312,-60.9995
313,-61.5207
314,-61.7618
315,-61.7175
316,-61.3946
317,-60.8121
318,-59.999
319,-58.9909
320,-57.8258
321,-56.5399
322,-55.1665
323,-53.7386
324,-52.3465
325,-51.0367
326,-49.872
327,-48.9044
328,-48.1673
329,-47.6685
330,-47.3963
331,-47.319
332,-47.3957
333,-47.5552
334,-47.7811
335,-48.0349
336,-48.2844
337,-48.5022
338,-48.666
339,-48.7549
340,-48.7522
341,-48.639
342,-48.3957
343,-48.0053
344,-47.4568
345,-46.7567
346,-45.8989
347,-44.8961
348,-43.7702
349,-42.5525
350,-41.2836
351,-40.0419
352,-38.8839
353,-37.8576
354,-36.9809
355,-36.2588
356,-35.6572
357,-35.1286
358,-34.6247
359,-34.1101
360,-33.5507
361,-32.9535
362,-32.3301
363,-31.6966
364,-31.0682
365,-30.4547
366,-29.8617
367,-29.2877
368,-28.7242
369,-28.1585
370,-27.5728
371,-26.9492
372,-26.2719
373,-25.5306
374,-24.7223
375,-23.8511
376,-22.9249
377,-21.9549
378,-20.9531
379,-19.9317
380,-18.9027
381,-17.8774
382,-16.867
383,-15.8839
384,-14.9426
385,-14.0624
386,-13.2678
387,-12.5902
388,-12.0648
389,-11.729
390,-11.6186
391,-11.7628
392,-12.1818
393,-12.8857
394,-13.8744
395,-15.1393
396,-16.6638
397,-18.4244
398,-20.3906
399,-22.5252
400,-24.785
401,-27.1241
402,-29.496
403,-31.8574
404,-34.171
405,-36.4064
406,-38.5406
407,-40.5556
408,-42.4355
409,-44.1633
410,-45.7174
411,-47.0705
412,-48.1885
413,-49.0317
414,-49.5569
415,-49.7237
416,-49.4996
417,-48.8675
418,-47.8316
419,-46.4206
420,-44.6878
421,-42.7057
422,-40.5587
423,-38.3301
424,-36.0903
425,-33.8884
426,-31.7493
427,-29.6834
428,-27.7018
429,-25.8302
430,-24.1109
431,-22.5904
432,-21.3029
433,-20.2555
434,-19.4251
435,-18.7656
436,-18.2187
437,-17.7262
438,-17.2408
439,-16.7297
440,-16.1771
441,-15.5794
442,-14.9411
443,-14.2672
444,-13.5585
445,-12.809
446,-12.0071
447,-11.137
448,-10.1867
449,-9.15076
450,-8.03564
451,-6.86132
452,-5.66079
453,-4.47733
454,-3.36023
455,-2.3598
456,-1.52306
457,-0.887846
458,-0.481468
459,-0.31771
460,-0.396096
461,-0.704996
462,-1.22367
463,-1.92717
464,-2.7894
465,-3.78665
466,-4.90048
467,-6.11863
468,-7.43596
469,-8.85399
470,-10.3777
471,-12.0136
472,-13.7662
473,-15.6357
474,-17.6155
475,-19.692
476,-21.8458
477,-24.0532
478,-26.2897
479,-28.5321
480,-30.761
481,-32.9589
482,-35.1124
483,-37.2104
484,-39.2433
485,-41.2034
486,-43.0842
487,-44.8811
488,-46.5896
489,-48.2061
490,-49.7279
491,-51.1514
492,-52.4718
493,-53.684
494,-54.7816
495,-55.7582
496,-56.6083
497,-57.3296
498,-57.9228
499,-58.3916
500,-58.7431
501,-58.9857
502,-59.1278
503,-59.1782
504,-59.1451
505,-59.0381
506,-58.8685
507,-58.6509
508,-58.4009
509,-58.1349
510,-57.8665
511,-57.6022
512,-57.3378
513,-57.0586
514,-56.7407
515,-56.3554
516,-55.8751
517,-55.282
518,-54.5727
519,-53.7605
520,-52.8752
521,-51.9565
522,-51.0452
523,-50.1777
524,-49.3796
525,-48.6665
526,-48.0437
527,-47.5118
528,-47.0701
529,-46.7194
530,-46.4636
531,-46.3077
532,-46.2551
533,-46.3044
534,-46.4484
535,-46.674
536,-46.9621
537,-47.2917
538,-47.6406
539,-47.987
540,-48.3116
541,-48.5981
542,-48.8341
543,-49.011
544,-49.1245
545,-49.1752
546,-49.1652
547,-49.0997
548,-48.9835
549,-48.8206
550,-48.6132
551,-48.3632
552,-48.0731
553,-47.7463
554,-47.3889
555,-47.0109
556,-46.6255
557,-46.2498
558,-45.9028
559,-45.6038
560,-45.3711
561,-45.2198
562,-45.1622
563,-45.2063
564,-45.3576
565,-45.6178
566,-45.9851
567,-46.4531
568,-47.0089
569,-47.6334
570,-48.3047
571,-49.0006
572,-49.7013
573,-50.3891
574,-51.0464
575,-51.655
576,-52.1947
577,-52.6444
578,-52.9831
579,-53.1903
580,-53.2474
581,-53.1386
582,-52.8524
583,-52.3849
584,-51.7417
585,-50.9433
586,-50.0242
587,-49.0315
588,-48.021
589,-47.0505
