Frame,Rotation
1,-3.05774
2,-2.54658
3,-2.59373
4,-2.60389
5,-2.71362
6,-2.72062
7,-2.7493
8,-2.76853
9,-2.77968
10,-2.77994
11,-2.77498
12,-2.76516
13,-2.75176
14,-2.73574
15,-2.7176
16,-2.69781
17,-2.67629
18,-2.6536
19,-2.63053
20,-2.60823
21,-2.588
22,-2.57035
23,-2.55585
24,-2.54332
25,-2.53172
26,-2.5195
27,-2.50482
28,-2.48657
29,-2.46404
30,-2.43621
31,-2.40262
32,-2.36336
33,-2.31911
34,-2.27125
35,-2.22185
36,-2.17374
37,-2.13005
38,-2.09316
39,-2.06448
40,-2.04275
41,-2.024
42,-2.00318
43,-1.97555
44,-1.93769
45,-1.88799
46,-1.82866
47,-1.7645
48,-1.70251
49,-1.65148
50,-1.61936
51,-1.61216
52,-1.634
53,-1.6865
54,-1.76955
55,-1.88091
56,-2.01679
57,-2.17246
58,-2.34241
59,-2.52161
60,-2.70486
61,-2.88774
62,-3.06617
63,-3.23703
64,-3.39805
65,-3.54746
66,-3.68452
67,-3.8088
68,-3.92376
69,-4.0309
70,-4.13343
71,-4.23384
72,-4.33428
73,-4.43601
74,-4.54037
75,-4.64846
76,-4.76202
77,-4.88166
78,-5.01309
79,-5.15949
80,-5.32319
81,-5.50358
82,-5.69767
83,-5.89978
84,-6.10116
85,-6.29198
86,-6.46227
87,-6.60115
88,-6.70117
89,-6.75716
90,-6.76595
91,-6.72745
92,-6.64343
93,-6.51742
94,-6.35333
95,-6.1547
96,-5.92394
97,-5.66202
98,-5.37016
99,-5.05036
100,-4.70888
101,-4.35642
102,-4.00877
103,-3.68498
104,-3.40478
105,-3.18445
106,-3.03397
107,-2.95445
108,-2.93972
109,-2.97671
110,-3.04997
111,-3.14338
112,-3.24199
113,-3.33187
114,-3.39999
115,-3.43165
116,-3.41287
117,-3.32892
118,-3.16774
119,-2.9206
120,-2.5828
121,-2.15487
122,-1.64036
123,-1.04507
124,-0.378035
125,0.351153
126,1.12884
127,1.93618
128,2.74756
129,3.5314
130,4.25199
131,4.87435
132,5.36751
133,5.71122
134,5.89612
135,5.92626
136,5.81909
137,5.60186
138,5.30759
139,4.97098
140,4.62493
141,4.29462
142,3.99583
143,3.73237
144,3.49555
145,3.26574
146,3.01619
147,2.71995
148,2.35404
149,1.90711
150,1.38331
151,0.806161
152,0.213076
153,-0.348268
154,-0.827905
155,-1.18476
156,-1.39281
157,-1.44349
158,-1.34738
159,-1.12991
160,-0.828673
161,-0.480868
162,-0.120768
163,0.223279
164,0.534714
165,0.804575
166,1.02898
167,1.20618
168,1.33547
169,1.41641
170,1.44859
171,1.43569
172,1.38896
173,1.32515
174,1.26552
175,1.23308
176,1.24765
177,1.32304
178,1.46348
179,1.66489
180,1.91491
181,2.19676
182,2.49158
183,2.78464
184,3.06535
185,3.32997
186,3.57912
187,3.81736
188,4.04955
189,4.27949
190,4.50815
191,4.73396
192,4.95218
193,5.15775
194,5.34329
195,5.50339
196,5.63344
197,5.73025
198,5.79403
199,5.82577
200,5.82957
201,5.81169
202,5.7792
203,5.7407
204,5.70066
205,5.65981
206,5.61233
207,5.54624
208,5.44671
209,5.29561
210,5.07698
211,4.781
212,4.40435
213,3.95353
214,3.43948
215,2.87743
216,2.28162
217,1.66459
218,1.03599
219,0.402616
220,-0.230245
221,-0.856198
222,-1.46783
223,-2.05633
224,-2.61378
225,-3.13418
226,-3.61781
227,-4.0711
228,-4.50558
229,-4.93565
230,-5.37407
231,-5.82634
232,-6.28953
233,-6.74993
234,-7.18602
235,-7.57065
236,-7.87663
237,-8.08257
238,-8.17507
239,-8.1511
240,-8.01774
241,-7.78792
242,-7.4778
243,-7.1025
244,-6.67359
245,-6.19817
246,-5.6786
247,-5.11646
248,-4.51192
249,-3.86419
250,-3.17096
251,-2.42898
252,-1.63079
253,-0.768699
254,0.164533
255,1.17274
256,2.25697
257,3.40497
258,4.59802
259,5.80867
260,7.00691
261,8.16086
262,9.24968
263,10.2634
264,11.205
265,12.0911
266,12.954
267,13.8224
268,14.7251
269,15.6799
270,16.6972
271,17.7786
272,18.9252
273,20.1441
274,21.4534
275,22.8829
276,24.4824
277,26.3014
278,28.3928
279,30.7785
280,33.4453
281,36.3297
282,39.3289
283,42.3064
284,45.1226
285,47.643
286,49.7408
287,51.3034
288,52.2296
289,52.4303
290,51.8482
291,50.4776
292,48.3812
293,45.6895
294,42.5903
295,39.2983
296,36.0025
297,32.8598
298,29.9743
299,27.3973
300,25.1401
301,23.1845
302,21.4972
303,20.0359
304,18.7645
305,17.6543
306,16.6795
307,15.8217
308,15.0651
309,14.3951
310,13.8008
311,13.2701
312,12.7955
313,12.3664
314,11.9748
315,11.6154
316,11.2832
317,10.9761
318,10.6929
319,10.4325
320,10.1935
321,9.97395
322,9.77167
323,9.58493
324,9.41093
325,9.25054
326,9.10508
327,8.97555
328,8.85958
329,8.74866
330,8.62779
331,8.46522
332,8.24668
333,7.95627
334,7.58742
335,7.14249
336,6.63123
337,6.06717
338,5.46471
339,4.83805
340,4.20613
341,3.57223
342,2.95088
343,2.35477
344,1.79433
345,1.27409
346,0.800277
347,0.373163
348,-0.0105951
349,-0.357441
350,-0.67662
351,-0.984032
352,-1.2915
353,-1.60669
354,-1.92969
355,-2.25783
356,-2.5808
357,-2.88616
358,-3.16295
359,-3.40387
360,-3.60444
361,-3.77105
362,-3.91484
363,-4.04993
364,-4.1899
365,-4.34486
366,-4.5215
367,-4.72019
368,-4.937
369,-5.16455
370,-5.39419
371,-5.61748
372,-5.82782
373,-6.02029
374,-6.19288
375,-6.34567
376,-6.4811
377,-6.60288
378,-6.71641
379,-6.8271
380,-6.94072
381,-7.06064
382,-7.1874
383,-7.31871
384,-7.44801
385,-7.56623
386,-7.6635
387,-7.73059
388,-7.76122
389,-7.75263
390,-7.70586
391,-7.62412
392,-7.511
393,-7.36901
394,-7.19704
395,-6.99045
396,-6.74103
397,-6.43914
398,-6.07635
399,-5.64802
400,-5.15657
401,-4.61195
402,-4.03203
403,-3.44116
404,-2.86633
405,-2.33306
406,-1.86182
407,-1.46583
408,-1.15061
409,-0.916238
410,-0.762087
411,-0.687973
412,-0.698647
413,-0.802722
414,-1.01078
415,-1.3284
416,-1.75432
417,-2.27592
418,-2.86976
419,-3.50602
420,-4.15337
421,-4.78457
422,-5.38222
423,-5.94063
424,-6.46663
425,-6.97474
426,-7.48366
427,-8.01066
428,-8.56686
429,-9.15442
430,-9.76576
431,-10.3852
432,-10.9907
433,-11.5575
434,-12.0618
435,-12.4841
436,-12.8133
437,-13.0498
438,-13.206
439,-13.3055
440,-13.3766
441,-13.4482
442,-13.5423
443,-13.6705
444,-13.8342
445,-14.0253
446,-14.2303
447,-14.4343
448,-14.6243
449,-14.7905
450,-14.9269
451,-15.0301
452,-15.0995
453,-15.1347
454,-15.1361
455,-15.1034
456,-15.0352
457,-14.9283
458,-14.7771
459,-14.5756
460,-14.3162
461,-13.9936
462,-13.6079
463,-13.1648
464,-12.6773
465,-12.1629
466,-11.64
467,-11.1229
468,-10.6185
469,-10.1253
470,-9.6336
471,-9.12904
472,-8.59768
473,-8.03338
474,-7.43834
475,-6.8271
476,-6.22005
477,-5.63991
478,-5.10545
479,-4.62605
480,-4.20002
481,-3.81247
482,-3.44019
483,-3.05791
484,-2.6445
485,-2.19487
486,-1.71833
487,-1.24118
488,-0.803801
489,-0.451822
490,-0.234272
491,-0.191135
492,-0.353747
493,-0.749235
494,-1.40368
495,-2.37211
496,-3.77499
497,-5.89447
498,-9.44456
499,-16.6175
500,-37.2042
501,-105.786
502,-147.305
503,-158.801
504,-163.615
505,-166.227
506,-167.913
507,-169.164
508,-170.209
509,-171.159
510,-172.059
511,-172.918
512,-173.721
513,-174.442
514,-175.059
515,-175.559
516,-175.944
517,-176.233
518,-176.455
519,-176.644
520,-176.833
521,-177.046
522,-177.298
523,-177.596
524,-177.936
525,-178.311
526,-178.712
527,-179.131
528,-179.563
529,-180.006
530,-180.459
531,-180.918
532,-181.378
533,-181.828
534,-182.255
535,-182.64
536,-182.964
537,-183.21
538,-183.366
539,-183.432
540,-183.415
541,-183.336
542,-183.221
543,-183.096
544,-182.988
545,-182.911
546,-182.873
547,-182.868
548,-182.885
549,-182.907
550,-182.917
551,-182.905
552,-182.865
553,-182.794
554,-182.697
555,-182.578
556,-182.446
557,-182.303
558,-182.15
559,-181.988
560,-181.812
561,-181.616
562,-181.393
563,-181.135
564,-180.83
565,-180.471
566,-180.055
567,-179.58
568,-179.05
569,-178.474
570,-177.865
571,-177.236
572,-176.601
573,-175.966
574,-175.332
575,-174.694
576,-174.041
577,-173.35
578,-172.594
579,-171.741
580,-170.753
581,-169.597
582,-168.243
583,-166.663
584,-164.82
585,-162.652
586,-160.029
587,-156.697
588,-152.163
589,-145.428
590,-134.413
591,-115.24
592,-85.737
593,-56.9893
594,-38.9495
595,-28.8525
596,-22.9533
597,-19.286
598,-16.8807
599,-15.2299
600,-14.0477
601,-13.1586
602,-12.4484
603,-11.8436
604,-11.2948
605,-10.7705
606,-10.2536
607,-9.73816
608,-9.2244
609,-8.71549
610,-8.21749
611,-7.73763
612,-7.27898
613,-6.8464
614,-6.44438
615,-6.07924
616,-5.75799
617,-5.48836
618,-5.27673
619,-5.12555
620,-5.0328
621,-4.99099
622,-4.98721
623,-5.00494
624,-5.02676
625,-5.03714
626,-5.0245
627,-4.98111
628,-4.90346
629,-4.79122
630,-4.64513
631,-4.46741
632,-4.26037
633,-4.02747
634,-3.77424
635,-3.50709
636,-3.23502
637,-2.96749
638,-2.71459
639,-2.48447
640,-2.28238
641,-2.11011
642,-1.96505
643,-1.84019
644,-1.72447
645,-1.60357
646,-1.46274
647,-1.28675
648,-1.06276
649,-0.782839
650,-0.445163
651,-0.0563932
652,0.36883
653,0.809327
654,1.24068
655,1.64128
656,1.99163
657,2.28142
658,2.50717
659,2.67195
660,2.78245
661,2.84561
662,2.86626
663,2.84529
664,2.78022
665,2.66835
666,2.50712
667,2.29807
668,2.04834
669,1.77126
670,1.48181
671,1.19735
672,0.93338
673,0.700759
674,0.504749
675,0.346167
676,0.221502
677,0.125265
678,0.053239
679,0.00478013
680,-0.0188455
681,-0.0122615
682,0.0320127
683,0.120972
684,0.258526
685,0.444516
686,0.673686
687,0.937036
688,1.22313
689,1.51872
690,1.81003
691,2.08206
692,2.32001
693,2.50894
694,2.6351
695,2.68869
696,2.66648
697,2.57493
698,2.43186
699,2.26358
700,2.10726
701,2.00219
702,1.98645
703,2.09591
704,2.36026
705,2.80889
706,3.47588
707,4.4182
708,5.73416
709,7.62167
710,10.505
711,15.4915
712,26.2955
713,60.8466
714,131.091
715,157.04
716,166.089
717,170.706
718,173.633
719,175.747
720,177.403
721,178.773
722,179.951
723,180.993
724,181.938
725,182.813
726,183.637
727,184.418
728,185.16
729,185.861
730,186.517
731,187.124
732,187.678
733,188.174
734,188.612
735,188.991
736,189.311
737,189.573
738,189.773
739,189.91
740,189.976
741,189.967
742,189.885
743,189.735
744,189.534
745,189.306
746,189.078
747,188.877
748,188.723
749,188.626
750,188.58
751,188.568
752,188.57
753,188.567
754,188.554
755,188.539
756,188.545
757,188.602
758,188.74
759,188.978
760,189.323
761,189.767
762,190.295
763,190.89
764,191.542
765,192.255
766,193.049
767,193.959
768,195.041
769,196.372
770,198.065
771,200.297
772,203.385
773,207.945
774,215.287
775,228.426
776,253.362
777,289.602
778,317.137
779,331.719
780,339.586
781,344.247
782,347.239
783,349.28
784,350.736
785,351.818
786,352.651
787,353.317
788,353.868
789,354.344
790,354.767
791,355.15
792,355.498
793,355.811
794,356.086
795,356.319
796,356.505
797,356.641
798,356.724
799,356.753
800,356.728
801,356.655
802,356.542
803,356.398
804,356.232
805,356.051
806,355.858
807,355.653
808,355.436
809,355.204
810,354.954
811,354.687
812,354.403
813,354.109
814,353.81
815,353.518
816,353.241
817,352.989
818,352.768
819,352.58
820,352.424
821,352.293
822,352.183
823,352.088
824,352.007
825,351.943
826,351.907
827,351.909
828,351.962
829,352.075
830,352.252
831,352.491
832,352.786
833,353.124
834,353.495
835,353.889
836,354.296
837,354.711
838,355.13
839,355.552
840,355.975
841,356.399
842,356.824
843,357.249
844,357.673
845,358.092
846,358.5
847,358.89
848,359.25
849,359.57
850,359.835
851,360.037
852,360.166
853,360.221
854,360.203
855,360.119
856,359.981
857,359.804
858,359.603
859,359.397
860,359.203
861,359.04
862,358.929
863,358.89
864,358.942
865,359.099
866,359.369
867,359.745
868,360.213
869,360.744
870,361.303
871,361.85
872,362.343
873,362.742
874,363.012
875,363.126
876,363.067
877,362.834
878,362.441
879,361.916
880,361.298
881,360.633
882,359.969
883,359.35
884,358.814
885,358.391
886,358.099
887,357.941
888,357.905
889,357.967
890,358.093
891,358.247
892,358.395
893,358.518
894,358.609
895,358.677
896,358.741
897,358.828
898,358.961
899,359.154
900,359.41
901,359.721
902,360.066
903,360.419
904,360.755
905,361.05
906,361.292
907,361.474
908,361.599
909,361.674
910,361.712
911,361.729
912,361.74
913,361.759
914,361.801
915,361.875
916,361.991
917,362.151
918,362.356
919,362.605
920,362.894
921,363.22
922,363.577
923,363.959
924,364.357
925,364.759
926,365.145
927,365.494
928,365.783
929,365.992
930,366.106
931,366.125
932,366.056
933,365.92
934,365.742
935,365.549
936,365.367
937,365.214
938,365.102
939,365.034
940,365.006
941,365.006
942,365.021
943,365.034
944,365.031
945,364.999
946,364.935
947,364.839
948,364.719
949,364.588
950,364.458
951,364.34
952,364.242
953,364.17
954,364.123
955,364.1
956,364.098
957,364.115
958,364.145
959,364.185
960,364.229
961,364.269
962,364.3
963,364.316
964,364.315
965,364.3
966,364.277
967,364.253
968,364.235
969,364.229
970,364.235
971,364.251
972,364.271
973,364.29
974,364.301
975,364.303
976,364.295
977,364.278
978,364.257
979,364.234
980,364.211
981,364.191
982,364.172
983,364.155
984,364.139
985,364.124
986,364.111
987,364.099
988,364.088
989,364.079
990,364.068
991,364.056
992,364.038
993,364.015
994,363.986
995,363.953
996,363.917
997,363.881
998,363.849
999,363.821
1000,363.8
1001,363.783
1002,363.77
1003,363.759
1004,363.748
1005,363.736
1006,363.723
1007,363.71
1008,363.698
1009,363.686
1010,363.676
1011,363.666
1012,363.657
1013,363.647
1014,363.636
1015,363.624
1016,363.61
1017,363.596
1018,363.582
1019,363.569
1020,363.556
1021,363.544
1022,363.533
1023,363.522
1024,363.512
1025,363.504
1026,363.498
1027,363.496
1028,363.496
1029,363.5
1030,363.506
1031,363.513
1032,363.52
1033,363.524
1034,363.527
1035,363.527
1036,363.526
1037,363.524
1038,363.524
1039,363.525
1040,363.528
1041,363.534
1042,363.54
1043,363.547
1044,363.552
1045,363.553
1046,363.551
1047,363.543
1048,363.531
1049,363.516
1050,363.498
1051,363.478
1052,363.459
1053,363.442
1054,363.426
1055,363.412
1056,363.4
1057,363.39
1058,363.379
1059,363.369
1060,363.358
1061,363.346
1062,363.334
1063,363.322
1064,363.311
1065,363.3
1066,363.289
1067,363.279
1068,363.27
1069,363.262
1070,363.255
1071,363.25
1072,363.246
1073,363.244
1074,363.243
1075,363.243
1076,363.243
1077,363.242
1078,363.241
1079,363.239
1080,363.234
1081,363.228
1082,363.235
1083,363.217
1084,363.179
1085,363.197
1086,363.177
